,Username,Rating,Posted At,Product Categories,Review Text,Shop's response,Likes,Page,Class,Probability
865,Người dùng Shopee,5,2023-03-19 14:42,,Hàng thật nhưng chưa biết công dụng,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️
",0,145,0,3.7391374e-08
866,icecream9495,5,2023-03-13 23:21,,Tác dụng chậm nhưng lành tính,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,145,1,0.98389536
868,baongocduongvu,5,2023-03-11 12:48,,"Công dụng: mờ thâm
Mùi hương: thơm","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,145,0,8.446714e-06
871,Người dùng Shopee,5,2023-03-19 14:42,,Hàng thật nhưng chưa biết công dụng,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️
",0,146,0,7.400213e-11
872,icecream9495,5,2023-03-13 23:21,,Tác dụng chậm nhưng lành tính,"Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,146,0,1.8350924e-05
874,baongocduongvu,5,2023-03-11 12:48,,"Công dụng: mờ thâm
Mùi hương: thơm","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,146,0,8.143666e-05
876,leeleo2632000,5,2021-01-15 09:17,,Dùng đc 2 hộp rồi. Khá hài lòng về sp,,0,147,0,7.400213e-11
877,minhhuycr7,5,2021-09-15 15:16,,Ổn,,0,147,0,1.8350924e-05
878,tieubach1502,5,2020-04-12 16:01,,Acnes good,,0,147,0,1.458861e-13
879,june5820,5,2020-06-19 17:48,,"Tuyệt
",,0,147,0,8.143666e-05
