,Username,Rating,Posted At,Product Categories,Review Text,Shop's response,Likes,Page,Class,Probability
708,p*****6,5,2022-03-21 19:06,Phân loại hàng: Hồng mộc lan,Giao hàng nhanh nên mình ưng lắm :3,,0,119,0,0.22161193
709,phuonpphuonp,5,2022-11-06 19:30,Phân loại hàng: Hồng mộc lan,"Công dụng: khử mùi
Mùi hương: thơm
Phù hợp với loại da: mọi loại da
Hương gỗ nghe mùi hơi hăng  k thích lắm. Hồng mộc lần thì chưa thử. Này mình xài cũng hơn chục năm r. Rất thích","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,119,1,1.0
710,m*****7,5,2021-11-02 18:17,Phân loại hàng: Hồng mộc lan,Giao hàng nhanh chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất tốt đóng gói sản phẩm rất tốt,,0,119,0,4.4941129e-10
711,3rd.marchh,5,2022-04-21 22:29,Phân loại hàng: Hương gỗ,ảnh với vid k liên quan nhưng mùi này khá oke mng ạ. Nhẹ nhàng ổn,,0,119,0,0.00066685234
712,trinhhanhnu,5,2021-11-06 16:09,Phân loại hàng: Hương gỗ,"Mùi ok thơm lắm, xịt k bị tắc
Nói chung là duyệt
Zruxitxjfxixg",,0,119,0,3.1843433e-13
713,_kimkhuyen,5,2021-06-24 19:27,Phân loại hàng: Hương Trà Xanh,Đóng gói ổn giao hàng nhanh nên mua lắm ạ hình ảnh mang tính chất nhận xu thôi nha mọi người ,,0,119,0,9.061097e-09
714,p*****6,5,2022-03-21 19:06,Phân loại hàng: Hồng mộc lan,Giao hàng nhanh nên mình ưng lắm :3,,0,120,1,0.80371916
715,phuonpphuonp,5,2022-11-06 19:30,Phân loại hàng: Hồng mộc lan,"Công dụng: khử mùi
Mùi hương: thơm
Phù hợp với loại da: mọi loại da
Hương gỗ nghe mùi hơi hăng  k thích lắm. Hồng mộc lần thì chưa thử. Này mình xài cũng hơn chục năm r. Rất thích","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,120,0,1.1560429e-10
716,m*****7,5,2021-11-02 18:17,Phân loại hàng: Hồng mộc lan,Giao hàng nhanh chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất tốt đóng gói sản phẩm rất tốt,,0,120,0,1.1739943e-11
717,3rd.marchh,5,2022-04-21 22:29,Phân loại hàng: Hương gỗ,ảnh với vid k liên quan nhưng mùi này khá oke mng ạ. Nhẹ nhàng ổn,,0,120,0,2.8959003e-06
718,trinhhanhnu,5,2021-11-06 16:09,Phân loại hàng: Hương gỗ,"Mùi ok thơm lắm, xịt k bị tắc
Nói chung là duyệt
Zruxitxjfxixg",,0,120,0,3.534787e-08
719,_kimkhuyen,5,2021-06-24 19:27,Phân loại hàng: Hương Trà Xanh,Đóng gói ổn giao hàng nhanh nên mua lắm ạ hình ảnh mang tính chất nhận xu thôi nha mọi người ,,0,120,0,8.775938e-07
720,p*****6,5,2022-03-21 19:06,Phân loại hàng: Hồng mộc lan,Giao hàng nhanh nên mình ưng lắm :3,,0,121,1,0.75024235
721,phuonpphuonp,5,2022-11-06 19:30,Phân loại hàng: Hồng mộc lan,"Công dụng: khử mùi
Mùi hương: thơm
Phù hợp với loại da: mọi loại da
Hương gỗ nghe mùi hơi hăng  k thích lắm. Hồng mộc lần thì chưa thử. Này mình xài cũng hơn chục năm r. Rất thích","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ❤️",0,121,0,6.57615e-06
722,m*****7,5,2021-11-02 18:17,Phân loại hàng: Hồng mộc lan,Giao hàng nhanh chất lượng sản phẩm tuyệt vời đóng gói sản phẩm rất tốt đóng gói sản phẩm rất tốt,,0,121,0,1.1739943e-11
723,3rd.marchh,5,2022-04-21 22:29,Phân loại hàng: Hương gỗ,ảnh với vid k liên quan nhưng mùi này khá oke mng ạ. Nhẹ nhàng ổn,,0,121,0,2.8959003e-06
724,trinhhanhnu,5,2021-11-06 16:09,Phân loại hàng: Hương gỗ,"Mùi ok thơm lắm, xịt k bị tắc
Nói chung là duyệt
Zruxitxjfxixg",,0,121,0,3.534787e-08
725,_kimkhuyen,5,2021-06-24 19:27,Phân loại hàng: Hương Trà Xanh,Đóng gói ổn giao hàng nhanh nên mua lắm ạ hình ảnh mang tính chất nhận xu thôi nha mọi người ,,0,121,0,8.775938e-07
726,thuhangchimri95,5,2019-06-01 08:27,Phân loại hàng: Hương Ylang Ylang,Gói hàng rất ok nhưng vì hết mùi nên chọn mùi này. K thích mùi này lắm nhưng sp rất chất lượng.  5*,,1,122,1,0.75024235
