,Username,Rating,Posted At,Product Categories,Review Text,Shop's response,Likes,Page,Class,Probability
383,d*****h,5,2022-09-03 13:24,,"Giao giống hình,  chưa xài nên không biết công dụng, giao nhanh, đóng gói tạm được","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,64,0,0.008388274
384,khanhhuyen_2511,5,2022-09-12 14:46,,"hàng auth nên mn yên tâm nha , giao đủ khong bị thiếu đâu nha. mãi iu","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,65,0,0.041586373
385,nguyenle210284,5,2022-10-09 21:34,,"Công dụng: trị mụn
Mùi hương: nhẹ
Dành cho da: mụn
Shop giao hàng nhanh. Chưa dùng nên chưa biết có tác dụng ko.","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo nhé ạ ..
",0,65,0,8.894735e-06
386,hienhieubui,5,2022-10-14 01:18,,"Công dụng: trị mụn
Sản phẩm y hình, tuy nhiên mình dùng thấy cũng không hiệu quả lắm","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn đã tin dùng sản phẩm Rohto ạ. Mong sớm gặp lại bạn trong đơn hàng tiếp theo. Khi cần Rohto hỗ trợ cũng như tư vấn thông tin nào bạn có thể nhắn tin vào hộp thư Chat của Rohto để được hỗ trợ nhé. Chúc bạn một ngày vui vẻ nhen",0,65,0,2.444789e-08
387,Người dùng Shopee,5,2022-08-24 10:41,,"Đầy đủ sản phẩm, giao hàng nhanh,  shipper thân thiện. 
Sản phẩm có mùi dễ chịu.","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn ở đơn hàng tiếp theo nhé.",0,65,0,2.5320767e-05
388,ttyn11062003,5,2022-06-15 00:38,,Chất lượng sản phẩm rất tuyệt vời . đóng gói sản phẩm đẹp . shop phục vụ rất tốt,,0,65,0,4.3788007e-10
389,d*****h,5,2022-09-03 13:24,,"Giao giống hình,  chưa xài nên không biết công dụng, giao nhanh, đóng gói tạm được","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,65,0,0.008388274
390,thanhvn696,5,2022-08-22 11:47,,"Công dụng: trị mụn
Mùi hương: thơm lắm
chỉ mới bôi th chưa biết công dụng như nào nchung cũng ok lắm","Rohto xin chào bạn ạ, Rohto rất vui khi nhận được phản hồi tích cực từ bạn dành cho Rohto Mentholatum Việt Nam. Mong bạn sẽ luôn ủng hộ Rohto ạ! Cảm ơn bạn.",0,66,0,2.452586e-05
391,thanhvynguyen870,5,2022-08-03 17:32,,"Công dụng: kem giảm mụn
Dành cho da: mọi loại da
Shop đóng gói kĩ, giao hàng nhanh như gió.","Rohto Mentholatum Viet Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Viet Nam. Mong sớm gặp lại bạn trong đơn hàng tiếp theo ạ. Mong bạn sẽ luôn ủng hộ Rohto nhé..
",0,66,0,0.025535343
392,t*****6,5,2022-08-09 16:52,,"Công dụng: chấm mụn
Mùi hương: có chút hương liệu nhưng thơm nhenn ghiền
Dành cho da: nào cx đc
Chất đặc màu trắng đối với tui là wa ổn tui chưa có mụn viêm sưng nên không bít còn mấy mụn khác trừ (mđđ ) thì tuỵt","Rohto Mentholatum Việt Nam xin chào bạn, Rohto rất vui khi bạn hài lòng với sản phẩm và dịch vụ của Rohto Mentholatum Việt Nam. Mong sớm gặp lại bạn ở đơn hàng tiếp theo nhé.",0,66,0,2.895075e-07
